Date,ATM 1,ATM 2,ATM 3,ATM (mean)
2017-10-02 00:00:00,99000000,47900000,38100000,61666666.67
2017-10-03 00:00:00,115900000,37800000,35700000,63133333.33
2017-10-04 00:00:00,113300000,53200000,42400000,69633333.33
2017-10-05 00:00:00,94300000,5200000,61000000,53500000
2017-10-06 00:00:00,46800000,1600000,141900000,63433333.33
2017-10-07 00:00:00,124100000,36600000,54900000,71866666.67
2017-10-08 00:00:00,121900000,53500000,40050000,71816666.67
2017-10-09 00:00:00,129100000,40500000,47950000,72516666.67
2017-10-10 00:00:00,111400000,36900000,35950000,61416666.67
2017-10-11 00:00:00,123800000,90500000,60400000,91566666.67
2017-10-12 00:00:00,101100000,12700000,98150000,70650000
2017-10-13 00:00:00,62600000,600000,189800000,84333333.33
2017-10-14 00:00:00,125800000,60500000,48600000,78300000
2017-10-15 00:00:00,94500000,49700000,39800000,61333333.33
2017-10-16 00:00:00,111700000,36900000,49300000,65966666.67
2017-10-17 00:00:00,136100000,25800000,25400000,62433333.33
2017-10-18 00:00:00,108500000,39500000,34800000,60933333.33
2017-10-19 00:00:00,97700000,12700000,64500000,58300000
2017-10-20 00:00:00,64400000,100000,126400000,63633333.33
2017-10-21 00:00:00,93800000,64600000,44300000,67566666.67
2017-10-22 00:00:00,126100000,52000000,36700000,71600000
2017-10-23 00:00:00,132300000,80900000,28300000,80500000
2017-10-24 00:00:00,118000000,48600000,38200000,68266666.67
2017-10-25 00:00:00,107700000,70100000,45700000,74500000
2017-10-26 00:00:00,92700000,9200000,55300000,52400000
2017-10-27 00:00:00,76500000,0,147500000,74666666.67
2017-10-28 00:00:00,113600000,57600000,35000000,68733333.33
2017-10-29 00:00:00,130500000,45300000,31400000,69066666.67
2017-10-30 00:00:00,125500000,23000000,51300000,66600000
2017-10-31 00:00:00,29400000,8100000,4300000,13933333.33
2017-11-01 00:00:00,142600000,54100000,61200000,85966666.67
2017-11-02 00:00:00,104000000,25600000,112700000,80766666.67
2017-11-03 00:00:00,65800000,800000,151800000,72800000
2017-11-04 00:00:00,58600000,48900000,16600000,41366666.67
2017-11-05 00:00:00,124700000,49100000,34500000,69433333.33
2017-11-06 00:00:00,133300000,34200000,55500000,74333333.33
2017-11-07 00:00:00,109400000,28900000,40000000,59433333.33
2017-11-08 00:00:00,107200000,34100000,52900000,64733333.33
2017-11-09 00:00:00,33800000,38050000,118500000,63450000
2017-11-10 00:00:00,50700000,0,119700000,56800000
2017-11-11 00:00:00,118300000,33300000,25900000,59166666.67
2017-11-12 00:00:00,109400000,35300000,26800000,57166666.67
2017-11-13 00:00:00,120300000,36700000,35000000,64000000
2017-11-14 00:00:00,113600000,36900000,32200000,60900000
2017-11-15 00:00:00,99300000,34200000,25900000,53133333.33
2017-11-16 00:00:00,78700000,4200000,54500000,45800000
2017-11-17 00:00:00,56900000,2400000,143400000,67566666.67
2017-11-18 00:00:00,105100000,56000000,61100000,74066666.67
2017-11-19 00:00:00,40000000,3000000,111700000,51566666.67
2017-11-20 00:00:00,127700000,62900000,34300000,74966666.67
2017-11-21 00:00:00,131100000,54300000,34200000,73200000
2017-11-22 00:00:00,138800000,49500000,46300000,78200000
2017-11-23 00:00:00,100300000,14000000,60500000,58266666.67
2017-11-24 00:00:00,54100000,0,112100000,55400000
2017-11-25 00:00:00,127400000,11500000,35200000,58033333.33
2017-11-26 00:00:00,132000000,19800000,21300000,57700000
2017-11-27 00:00:00,61500000,31988888.89,14300000,35929629.63
2017-11-28 00:00:00,141100000,32200000,22100000,65133333.33
2017-11-29 00:00:00,114200000,51100000,25200000,63500000
2017-11-30 00:00:00,94800000,14800000,74500000,61366666.67
2017-12-01 00:00:00,57600000,5500000,105300000,56133333.33
2017-12-02 00:00:00,101300000,59100000,51600000,70666666.67
2017-12-03 00:00:00,123900000,53400000,33800000,70366666.67
2017-12-04 00:00:00,141500000,56800000,33600000,77300000
2017-12-05 00:00:00,102300000,66500000,32200000,67000000
2017-12-06 00:00:00,53100000,500000,93000000,48866666.67
2017-12-07 00:00:00,87400000,9300000,84500000,60400000
2017-12-08 00:00:00,54300000,800000,74500000,43200000
2017-12-09 00:00:00,105200000,50100000,29200000,61500000
2017-12-10 00:00:00,107600000,31100000,29800000,56166666.67
2017-12-11 00:00:00,112400000,56900000,26200000,65166666.67
2017-12-12 00:00:00,102800000,53000000,29600000,61800000
2017-12-13 00:00:00,91400000,50800000,27400000,56533333.33
2017-12-14 00:00:00,77200000,6900000,63000000,49033333.33
2017-12-15 00:00:00,59400000,0,102100000,53833333.33
2017-12-16 00:00:00,25100000,46300000,30900000,34100000
2017-12-17 00:00:00,93748387.1,64800000,31200000,63249462.37
2017-12-18 00:00:00,94250000,85300000,49900000,76483333.33
2017-12-19 00:00:00,95537931.03,43600000,32500000,57212643.68
2017-12-20 00:00:00,86400000,47400000,43900000,59233333.33
2017-12-21 00:00:00,47000000,14600000,72600000,44733333.33
2017-12-22 00:00:00,46900000,6500000,139300000,64233333.33
2017-12-23 00:00:00,102500000,103200000,40700000,82133333.33
2017-12-24 00:00:00,93000000,105800000,59400000,86066666.67
2017-12-25 00:00:00,86700000,85300000,56500000,76166666.67
2017-12-26 00:00:00,89000000,77200000,33100000,66433333.33
2017-12-27 00:00:00,106300000,74700000,27900000,69633333.33
2017-12-28 00:00:00,72300000,21400000,81600000,58433333.33
2017-12-29 00:00:00,50200000,2500000,147200000,66633333.33
2017-12-30 00:00:00,93400000,102300000,45500000,80400000
2017-12-31 00:00:00,90000000,64900000,45500000,66800000
